"SubscriptionType","MonthlyRevenue","JoinDate","LastPaymentDate","Country","Age","Gender","Device"
"Premium",13,"04-09-22","01-07-23","United States",40,"Female","Smartphone"
"Basic",11,"31-08-22","29-06-23","United States",48,"Female","Smart TV"
"Premium",10,"01-09-22","02-07-23","Canada",48,"Male","Laptop"
"Standard",10,"15-09-22","29-06-23","United Kingdom",35,"Male","Laptop"
"Basic",15,"18-09-22","03-07-23","Australia",28,"Male","Smart TV"
"Standard",11,"28-09-22","29-06-23","Germany",35,"Female","Smart TV"
"Premium",13,"30-09-22","01-07-23","France",43,"Male","Smartphone"
"Basic",15,"07-10-22","29-06-23","Brazil",39,"Male","Laptop"
"Standard",10,"08-10-22","02-07-23","Mexico",38,"Female","Laptop"
"Premium",14,"08-10-22","30-06-23","Spain",36,"Female","Smart TV"
"Basic",11,"03-10-22","01-07-23","Italy",42,"Female","Laptop"
"Premium",14,"04-10-22","28-06-23","Spain",27,"Male","Tablet"
"Basic",12,"02-10-22","01-07-23","Spain",48,"Male","Laptop"
"Standard",13,"01-10-22","30-06-23","United States",27,"Female","Smart TV"
"Standard",15,"03-10-22","02-07-23","Canada",49,"Male","Smartphone"
"Basic",11,"20-10-22","28-06-23","United States",29,"Male","Tablet"
"Premium",11,"21-10-22","01-07-23","United States",44,"Male","Laptop"
"Basic",11,"28-10-22","30-06-23","Canada",31,"Male","Smartphone"
"Standard",13,"03-11-22","01-07-23","United Kingdom",33,"Male","Tablet"
"Premium",10,"07-11-22","28-06-23","Australia",36,"Female","Smart TV"
"Basic",15,"12-11-22","30-06-23","Germany",43,"Female","Laptop"
"Premium",14,"13-11-22","29-06-23","France",30,"Female","Smartphone"
"Basic",13,"02-11-22","01-07-23","Brazil",44,"Female","Laptop"
"Standard",13,"01-11-22","29-06-23","Mexico",37,"Female","Laptop"
"Standard",14,"31-10-22","30-06-23","Spain",27,"Male","Laptop"
"Basic",12,"28-10-22","29-06-23","Italy",35,"Female","Laptop"
"Premium",13,"24-10-22","30-06-23","Spain",32,"Male","Smart TV"
"Basic",12,"03-10-22","29-06-23","Spain",49,"Female","Laptop"
"Standard",12,"13-09-22","30-06-23","United States",45,"Female","Tablet"
"Premium",11,"02-09-22","30-06-23","Canada",33,"Female","Smartphone"
"Basic",14,"30-08-22","30-06-23","United States",37,"Female","Smartphone"
"Premium",15,"25-08-22","30-06-23","United States",29,"Male","Smartphone"
"Basic",12,"11-08-22","30-06-23","Canada",45,"Male","Smart TV"
"Standard",11,"05-08-22","30-06-23","United Kingdom",42,"Female","Smartphone"
"Standard",12,"02-08-22","30-06-23","Australia",32,"Female","Smart TV"
"Basic",11,"03-08-22","01-07-23","Germany",47,"Male","Smartphone"
"Premium",12,"04-08-22","01-07-23","France",27,"Male","Smart TV"
"Basic",10,"05-08-22","30-06-23","Brazil",35,"Male","Tablet"
"Standard",15,"12-07-22","30-06-23","Mexico",35,"Male","Laptop"
"Premium",10,"02-07-22","30-06-23","Spain",48,"Male","Tablet"
"Basic",12,"26-06-22","30-06-23","Italy",36,"Male","Smartphone"
"Premium",10,"22-06-22","29-06-23","Spain",46,"Male","Smartphone"
"Basic",13,"22-06-22","30-06-23","Spain",33,"Female","Smartphone"
"Standard",14,"19-06-22","01-07-23","United States",43,"Male","Smart TV"
"Standard",14,"22-06-22","02-07-23","Canada",47,"Female","Smartphone"
"Basic",15,"27-06-22","28-06-23","United States",39,"Female","Laptop"
"Premium",15,"01-07-22","30-06-23","United States",30,"Female","Laptop"
"Basic",11,"28-06-22","30-06-23","Canada",46,"Male","Tablet"
"Standard",13,"25-06-22","01-07-23","United Kingdom",39,"Male","Smart TV"
"Premium",10,"22-06-22","28-06-23","Australia",28,"Male","Smartphone"
"Basic",13,"09-06-22","29-06-23","Germany",38,"Male","Smartphone"
"Premium",13,"10-06-22","30-06-23","France",36,"Male","Laptop"
"Basic",15,"11-06-22","01-07-23","Brazil",33,"Male","Laptop"
"Standard",10,"11-06-22","28-06-23","Mexico",50,"Male","Smartphone"
"Standard",10,"12-06-22","29-06-23","Spain",38,"Male","Smartphone"
"Basic",15,"13-06-22","30-06-23","Italy",29,"Male","Smartphone"
"Premium",15,"18-06-22","30-06-23","Spain",47,"Female","Smart TV"
"Basic",15,"29-06-22","30-06-23","Spain",31,"Female","Tablet"
"Standard",13,"30-06-22","28-06-23","United States",40,"Male","Tablet"
"Premium",14,"01-07-22","01-07-23","Canada",50,"Male","Laptop"
"Basic",11,"07-07-22","30-06-23","United States",43,"Female","Tablet"
"Basic",12,"13-07-22","29-06-23","United States",35,"Female","Laptop"
"Basic",11,"24-07-22","29-06-23","Canada",36,"Male","Laptop"
"Standard",15,"29-07-22","30-06-23","United Kingdom",30,"Male","Smartphone"
"Premium",13,"31-07-22","30-06-23","Australia",47,"Female","Smartphone"
"Basic",12,"09-08-22","30-06-23","Germany",30,"Female","Laptop"
"Basic",11,"18-08-22","01-07-23","France",37,"Male","Smart TV"
"Premium",15,"20-08-22","30-06-23","Brazil",34,"Male","Smartphone"
"Standard",15,"30-08-22","30-06-23","Mexico",33,"Female","Smart TV"
"Standard",10,"01-09-22","29-06-23","Spain",31,"Male","Tablet"
"Basic",13,"02-09-22","03-07-23","Italy",30,"Female","Smartphone"
"Premium",10,"02-09-22","29-06-23","Spain",35,"Male","Smartphone"
"Standard",14,"15-09-22","02-07-23","Spain",40,"Female","Tablet"
"Basic",13,"17-09-22","29-06-23","United States",29,"Male","Smartphone"
"Standard",14,"26-09-22","03-07-23","Canada",34,"Female","Smart TV"
"Premium",12,"27-09-22","29-06-23","United States",31,"Male","Laptop"
"Basic",15,"04-10-22","01-07-23","United States",28,"Male","Laptop"
"Premium",12,"06-10-22","29-06-23","Canada",46,"Female","Smart TV"
"Standard",11,"07-10-22","02-07-23","United Kingdom",38,"Male","Smartphone"
"Basic",13,"06-10-22","30-06-23","Australia",35,"Female","Laptop"
"Standard",15,"07-10-22","03-07-23","Germany",49,"Male","Smartphone"
"Premium",13,"06-10-22","29-06-23","France",42,"Male","Smartphone"
"Basic",14,"06-10-22","02-07-23","Brazil",37,"Female","Laptop"
"Standard",13,"04-10-22","01-07-23","Mexico",39,"Female","Smartphone"
"Premium",10,"14-10-22","02-07-23","Spain",47,"Female","Smart TV"
"Basic",12,"19-10-22","29-06-23","Italy",49,"Male","Smartphone"
"Premium",12,"21-10-22","01-07-23","Spain",35,"Male","Laptop"
"Basic",11,"28-10-22","30-06-23","Spain",36,"Female","Smart TV"
"Standard",11,"01-11-22","02-07-23","United States",40,"Male","Tablet"
"Standard",10,"12-11-22","29-06-23","Canada",30,"Female","Smart TV"
"Basic",13,"13-11-22","30-06-23","United States",51,"Female","Smart TV"
"Premium",15,"09-11-22","30-06-23","United States",47,"Male","Laptop"
"Basic",12,"08-11-22","01-07-23","Canada",47,"Female","Laptop"
"Standard",14,"06-11-22","30-06-23","United Kingdom",39,"Male","Tablet"
"Premium",10,"07-11-22","30-06-23","Australia",49,"Male","Smart TV"
"Basic",12,"02-11-22","01-07-23","Germany",33,"Male","Laptop"
"Premium",10,"06-10-22","30-06-23","France",32,"Female","Smart TV"
"Basic",15,"16-09-22","30-06-23","Brazil",40,"Male","Smartphone"
"Standard",14,"10-09-22","30-06-23","Mexico",40,"Female","Laptop"
"Standard",12,"04-09-22","30-06-23","Spain",51,"Female","Tablet"
"Basic",13,"26-08-22","01-07-23","Italy",50,"Male","Smart TV"
"Premium",14,"14-08-22","01-07-23","Spain",50,"Female","Smart TV"
"Basic",14,"12-08-22","01-07-23","Spain",47,"Male","Smartphone"
"Standard",12,"10-08-22","30-06-23","United States",35,"Male","Laptop"
"Premium",11,"10-08-22","01-07-23","Canada",31,"Male","Tablet"
"Basic",15,"04-08-22","01-07-23","United States",36,"Male","Smartphone"
"Premium",10,"05-08-22","01-07-23","United States",41,"Female","Smart TV"
"Basic",13,"17-07-22","30-06-23","Canada",49,"Female","Tablet"
"Standard",12,"16-07-22","01-07-23","United Kingdom",34,"Female","Tablet"
"Standard",15,"13-07-22","01-07-23","Australia",30,"Female","Tablet"
"Basic",13,"03-07-22","02-07-23","Germany",38,"Male","Laptop"
"Premium",11,"24-06-22","29-06-23","France",45,"Male","Tablet"
"Basic",14,"21-06-22","01-07-23","Brazil",42,"Female","Laptop"
"Standard",10,"22-06-22","01-07-23","Mexico",42,"Female","Smart TV"
"Premium",10,"23-06-22","02-07-23","Spain",31,"Male","Smart TV"
"Basic",14,"26-06-22","29-06-23","Italy",28,"Male","Smart TV"
"Premium",11,"27-06-22","30-06-23","Spain",44,"Male","Tablet"
"Basic",13,"28-06-22","01-07-23","Spain",30,"Male","Smart TV"
"Standard",13,"28-06-22","02-07-23","United States",33,"Male","Smartphone"
"Standard",12,"18-06-22","29-06-23","Canada",42,"Female","Tablet"
"Basic",11,"11-06-22","30-06-23","United States",31,"Male","Smart TV"
"Premium",11,"11-06-22","01-07-23","United States",31,"Female","Smartphone"
"Basic",13,"12-06-22","01-07-23","Canada",46,"Female","Smart TV"
"Standard",15,"13-06-22","29-06-23","United Kingdom",28,"Female","Tablet"
"Premium",11,"13-06-22","29-06-23","Australia",50,"Male","Tablet"
"Basic",11,"18-06-22","02-07-23","Germany",34,"Male","Tablet"
"Premium",15,"23-06-22","30-06-23","France",45,"Female","Smart TV"
"Basic",12,"26-06-22","30-06-23","Brazil",38,"Female","Laptop"
"Standard",13,"29-06-22","29-06-23","Mexico",42,"Female","Laptop"
"Standard",10,"02-07-22","01-07-23","Spain",45,"Female","Smartphone"
"Basic",10,"06-07-22","30-06-23","Italy",44,"Male","Smart TV"
"Premium",14,"18-07-22","30-06-23","Spain",50,"Female","Smart TV"
"Basic",15,"29-07-22","30-06-23","Spain",38,"Male","Tablet"
"Standard",13,"30-07-22","01-07-23","United States",42,"Female","Smart TV"
"Premium",13,"03-08-22","01-07-23","Canada",50,"Male","Smart TV"
"Basic",10,"15-08-22","30-06-23","United States",30,"Male","Smartphone"
"Basic",10,"20-08-22","01-07-23","United States",47,"Female","Smartphone"
"Basic",14,"21-08-22","30-06-23","Canada",32,"Female","Laptop"
"Standard",11,"30-08-22","02-07-23","United Kingdom",31,"Female","Tablet"
"Premium",15,"01-09-22","29-06-23","Australia",37,"Male","Laptop"
"Basic",14,"02-09-22","03-07-23","Germany",32,"Female","Smartphone"
"Basic",12,"04-09-22","30-06-23","France",29,"Male","Smartphone"
"Premium",12,"10-09-22","02-07-23","Brazil",28,"Male","Tablet"
"Standard",11,"25-09-22","29-06-23","Mexico",42,"Male","Laptop"
"Standard",12,"27-09-22","03-07-23","Spain",37,"Male","Tablet"
"Basic",13,"01-10-22","30-06-23","Italy",38,"Female","Laptop"
"Premium",13,"06-10-22","02-07-23","Spain",32,"Male","Smart TV"
"Standard",15,"07-10-22","30-06-23","Spain",48,"Male","Laptop"
"Basic",13,"08-10-22","03-07-23","United States",46,"Female","Smart TV"
"Standard",14,"08-10-22","01-07-23","Canada",30,"Male","Tablet"
"Premium",10,"08-10-22","03-07-23","United States",40,"Female","Smart TV"
"Basic",13,"08-10-22","29-06-23","United States",29,"Male","Smart TV"
"Premium",15,"08-10-22","02-07-23","Canada",41,"Male","Tablet"
"Standard",15,"10-10-22","01-07-23","United Kingdom",32,"Male","Laptop"
"Basic",12,"19-10-22","02-07-23","Australia",44,"Female","Smart TV"
"Standard",15,"20-10-22","29-06-23","Germany",41,"Male","Laptop"
"Premium",12,"26-10-22","01-07-23","France",50,"Female","Smartphone"
"Basic",14,"29-10-22","30-06-23","Brazil",33,"Female","Tablet"
"Standard",10,"31-10-22","02-07-23","Mexico",34,"Female","Smart TV"
"Premium",15,"11-11-22","29-06-23","Spain",40,"Male","Smartphone"
"Basic",14,"09-11-22","01-07-23","Italy",34,"Female","Tablet"
"Premium",14,"09-11-22","01-07-23","Spain",27,"Female","Smart TV"
"Basic",13,"07-11-22","01-07-23","Spain",34,"Male","Tablet"
"Standard",13,"08-11-22","30-06-23","United States",28,"Male","Tablet"
"Standard",14,"05-11-22","01-07-23","Canada",37,"Female","Smart TV"
"Basic",10,"25-10-22","01-07-23","United States",27,"Female","Laptop"
"Premium",13,"23-10-22","02-07-23","United States",33,"Female","Laptop"
"Basic",11,"20-10-22","02-07-23","Canada",42,"Male","Laptop"
"Standard",11,"14-10-22","01-07-23","United Kingdom",49,"Male","Smartphone"
"Premium",13,"29-08-22","30-06-23","Australia",44,"Male","Smart TV"
"Basic",10,"18-08-22","01-07-23","Germany",47,"Male","Laptop"
"Premium",13,"13-08-22","02-07-23","France",33,"Male","Laptop"
"Basic",11,"11-08-22","02-07-23","Brazil",37,"Male","Smart TV"
"Standard",10,"11-08-22","01-07-23","Mexico",35,"Male","Laptop"
"Standard",11,"06-08-22","01-07-23","Spain",34,"Female","Smartphone"
"Basic",10,"07-08-22","02-07-23","Italy",44,"Male","Smartphone"
"Premium",15,"18-07-22","02-07-23","Spain",29,"Male","Tablet"
"Basic",10,"17-07-22","30-06-23","Spain",38,"Male","Smartphone"
"Standard",14,"15-07-22","02-07-23","United States",46,"Male","Smart TV"
"Premium",10,"14-07-22","02-07-23","Canada",29,"Male","Tablet"
"Basic",12,"26-06-22","03-07-23","United States",48,"Female","Smart TV"
"Premium",10,"26-06-22","29-06-23","United States",36,"Male","Smart TV"
"Basic",12,"22-06-22","01-07-23","Canada",43,"Male","Laptop"
"Standard",15,"23-06-22","01-07-23","United Kingdom",42,"Female","Smart TV"
"Standard",10,"24-06-22","02-07-23","Australia",50,"Male","Tablet"
"Basic",13,"26-06-22","29-06-23","Germany",39,"Male","Laptop"
"Premium",14,"28-06-22","01-07-23","France",43,"Female","Laptop"
"Basic",10,"29-06-22","02-07-23","Brazil",50,"Female","Tablet"
"Standard",12,"26-06-22","02-07-23","Mexico",51,"Male","Laptop"
"Premium",14,"26-06-22","30-06-23","Spain",40,"Male","Tablet"
"Basic",10,"20-06-22","30-06-23","Italy",31,"Male","Tablet"
"Premium",12,"18-06-22","03-07-23","Spain",39,"Female","Smartphone"
"Basic",10,"16-06-22","01-07-23","Spain",49,"Female","Tablet"
"Standard",10,"16-06-22","30-06-23","United States",34,"Female","Laptop"
"Standard",13,"17-06-22","30-06-23","Canada",38,"Male","Smartphone"
"Basic",15,"20-06-22","02-07-23","United States",36,"Female","Laptop"
"Premium",10,"24-06-22","01-07-23","United States",42,"Female","Smart TV"
"Basic",14,"27-06-22","01-07-23","Canada",50,"Male","Tablet"
"Standard",10,"02-07-22","01-07-23","United Kingdom",42,"Female","Laptop"
"Premium",14,"04-07-22","02-07-23","Australia",35,"Female","Laptop"
"Basic",15,"15-07-22","30-06-23","Germany",46,"Female","Tablet"
"Premium",15,"23-07-22","01-07-23","France",48,"Male","Laptop"
"Basic",12,"29-07-22","01-07-23","Brazil",43,"Female","Laptop"
"Standard",13,"01-08-22","01-07-23","Mexico",51,"Female","Tablet"
"Standard",13,"12-08-22","03-07-23","Spain",45,"Male","Smart TV"
"Basic",10,"14-08-22","30-06-23","Italy",46,"Male","Laptop"
"Premium",12,"16-08-22","04-07-23","Spain",42,"Female","Laptop"
"Basic",10,"26-08-22","30-06-23","Spain",42,"Female","Smartphone"
"Standard",13,"31-08-22","03-07-23","United States",50,"Male","Tablet"
"Premium",12,"02-09-22","30-06-23","Canada",28,"Male","Smart TV"
"Basic",15,"03-09-22","03-07-23","United States",44,"Female","Tablet"
"Basic",10,"05-09-22","01-07-23","United States",36,"Male","Tablet"
"Basic",14,"10-09-22","02-07-23","Canada",37,"Female","Laptop"
"Standard",12,"17-09-22","01-07-23","United Kingdom",36,"Male","Smartphone"
"Premium",13,"28-09-22","03-07-23","Australia",31,"Male","Smartphone"
"Basic",12,"02-10-22","30-06-23","Germany",36,"Female","Smart TV"
"Basic",15,"05-10-22","03-07-23","France",39,"Female","Laptop"
"Premium",11,"07-10-22","30-06-23","Brazil",45,"Female","Laptop"
"Standard",13,"08-10-22","03-07-23","Mexico",29,"Male","Smart TV"
"Standard",15,"08-10-22","01-07-23","Spain",45,"Male","Smartphone"
"Basic",11,"09-10-22","03-07-23","Italy",29,"Male","Smart TV"
"Premium",10,"09-10-22","30-06-23","Spain",28,"Female","Smart TV"
"Standard",12,"10-10-22","02-07-23","Spain",42,"Female","Smart TV"
"Basic",11,"14-10-22","01-07-23","United States",36,"Female","Smartphone"
"Standard",15,"16-10-22","03-07-23","Canada",39,"Male","Smart TV"
"Premium",11,"21-10-22","29-06-23","United States",36,"Male","Smart TV"
"Basic",15,"25-10-22","01-07-23","United States",49,"Male","Laptop"
"Premium",11,"30-10-22","01-07-23","Canada",32,"Female","Tablet"
"Standard",12,"31-10-22","02-07-23","United Kingdom",40,"Female","Smartphone"
"Basic",12,"08-11-22","01-07-23","Australia",34,"Male","Smartphone"
"Standard",15,"09-11-22","01-07-23","Germany",35,"Male","Smartphone"
"Premium",11,"07-11-22","01-07-23","France",44,"Female","Smart TV"
"Basic",13,"08-11-22","03-07-23","Brazil",47,"Female","Smartphone"
"Standard",14,"08-11-22","03-07-23","Mexico",33,"Female","Laptop"
"Premium",11,"31-10-22","02-07-23","Spain",45,"Male","Tablet"
"Basic",14,"28-10-22","01-07-23","Italy",42,"Female","Tablet"
"Premium",15,"25-10-22","02-07-23","Spain",46,"Male","Tablet"
"Basic",14,"18-10-22","02-07-23","Spain",51,"Male","Tablet"
"Standard",15,"25-09-22","02-07-23","United States",41,"Female","Laptop"
"Standard",10,"26-08-22","01-07-23","Canada",50,"Female","Tablet"
"Basic",10,"20-08-22","02-07-23","United States",49,"Female","Smartphone"
"Premium",12,"12-08-22","03-07-23","United States",34,"Female","Laptop"
"Basic",13,"12-08-22","03-07-23","Canada",38,"Female","Tablet"
"Standard",13,"11-08-22","01-07-23","United Kingdom",46,"Male","Smart TV"
"Premium",14,"11-08-22","02-07-23","Australia",42,"Male","Smart TV"
"Basic",12,"10-08-22","02-07-23","Germany",46,"Male","Laptop"
"Premium",10,"31-07-22","03-07-23","France",51,"Female","Smart TV"
"Basic",12,"17-07-22","30-06-23","Brazil",35,"Male","Smart TV"
"Standard",10,"15-07-22","02-07-23","Mexico",34,"Female","Smartphone"
"Standard",14,"05-07-22","02-07-23","Spain",31,"Female","Laptop"
"Basic",12,"01-07-22","03-07-23","Italy",36,"Female","Tablet"
"Premium",15,"01-07-22","30-06-23","Spain",28,"Male","Smart TV"
"Basic",15,"26-06-22","01-07-23","Spain",29,"Female","Smartphone"
"Standard",12,"27-06-22","02-07-23","United States",42,"Female","Smart TV"
"Premium",10,"28-06-22","02-07-23","Canada",35,"Female","Smartphone"
"Basic",12,"28-06-22","30-06-23","United States",32,"Female","Laptop"
"Premium",10,"29-06-22","01-07-23","United States",43,"Female","Tablet"
"Basic",10,"26-06-22","02-07-23","Canada",29,"Male","Smartphone"
"Standard",13,"26-06-22","02-07-23","United Kingdom",35,"Female","Tablet"
"Standard",14,"24-06-22","30-06-23","Australia",27,"Female","Tablet"
"Basic",13,"21-06-22","01-07-23","Germany",38,"Male","Tablet"
"Premium",13,"22-06-22","03-07-23","France",33,"Male","Smart TV"
"Basic",11,"18-06-22","02-07-23","Brazil",48,"Male","Laptop"
"Standard",10,"18-06-22","02-07-23","Mexico",51,"Female","Laptop"
"Premium",10,"20-06-22","01-07-23","Spain",40,"Female","Smartphone"
"Basic",13,"23-06-22","03-07-23","Italy",28,"Male","Smartphone"
"Premium",10,"26-06-22","01-07-23","Spain",46,"Female","Laptop"
"Basic",12,"02-07-22","01-07-23","Spain",28,"Female","Tablet"
"Standard",12,"04-07-22","01-07-23","United States",47,"Male","Tablet"
"Standard",10,"07-07-22","02-07-23","Canada",47,"Male","Smartphone"
"Basic",13,"14-07-22","01-07-23","United States",50,"Male","Smartphone"
"Premium",13,"20-07-22","01-07-23","United States",50,"Female","Smart TV"
"Basic",15,"23-07-22","02-07-23","Canada",29,"Male","Smartphone"
"Standard",15,"30-07-22","01-07-23","United Kingdom",38,"Male","Tablet"
"Premium",11,"12-08-22","03-07-23","Australia",40,"Female","Tablet"
"Basic",14,"14-08-22","01-07-23","Germany",43,"Male","Smartphone"
"Premium",14,"22-08-22","04-07-23","France",27,"Female","Smartphone"
"Basic",10,"29-08-22","30-06-23","Brazil",37,"Female","Tablet"
"Standard",12,"02-09-22","03-07-23","Mexico",30,"Male","Smartphone"
"Standard",13,"03-09-22","01-07-23","Spain",50,"Male","Laptop"
"Basic",11,"04-09-22","04-07-23","Italy",51,"Male","Smartphone"
"Premium",13,"06-09-22","01-07-23","Spain",37,"Female","Laptop"
"Basic",14,"10-09-22","02-07-23","Spain",35,"Female","Tablet"
"Standard",12,"20-09-22","01-07-23","United States",35,"Male","Tablet"
"Premium",11,"26-09-22","03-07-23","Canada",46,"Male","Tablet"
"Basic",13,"04-10-22","01-07-23","United States",27,"Male","Tablet"
"Basic",13,"06-10-22","03-07-23","United States",27,"Male","Laptop"
"Basic",13,"07-10-22","01-07-23","Canada",39,"Female","Laptop"
"Standard",15,"08-10-22","03-07-23","United Kingdom",51,"Male","Tablet"
"Premium",14,"09-10-22","01-07-23","Australia",41,"Male","Smartphone"
"Basic",15,"10-10-22","03-07-23","Germany",30,"Female","Smart TV"
"Basic",11,"10-10-22","30-06-23","France",46,"Male","Laptop"
"Premium",14,"14-10-22","02-07-23","Brazil",31,"Male","Tablet"
"Standard",13,"15-10-22","01-07-23","Mexico",49,"Male","Smartphone"
"Standard",12,"17-10-22","03-07-23","Spain",39,"Female","Tablet"
"Basic",11,"23-10-22","01-07-23","Italy",47,"Male","Smartphone"
"Premium",15,"27-10-22","02-07-23","Spain",36,"Female","Tablet"
"Standard",14,"29-10-22","02-07-23","Spain",42,"Female","Tablet"
"Basic",15,"05-11-22","02-07-23","United States",28,"Female","Smart TV"
"Standard",15,"07-11-22","02-07-23","Canada",43,"Male","Tablet"
"Premium",10,"08-11-22","02-07-23","United States",50,"Female","Laptop"
"Basic",15,"09-11-22","01-07-23","United States",30,"Female","Tablet"
"Premium",10,"10-11-22","03-07-23","Canada",34,"Female","Laptop"
"Standard",13,"02-11-22","03-07-23","United Kingdom",35,"Female","Laptop"
"Basic",11,"31-10-22","02-07-23","Australia",29,"Male","Tablet"
"Standard",15,"29-10-22","02-07-23","Germany",33,"Male","Smart TV"
"Premium",12,"22-10-22","03-07-23","France",47,"Male","Laptop"
"Basic",14,"20-10-22","02-07-23","Brazil",32,"Female","Tablet"
"Standard",15,"21-10-22","04-07-23","Mexico",34,"Female","Tablet"
"Premium",13,"10-10-22","02-07-23","Spain",46,"Male","Smart TV"
"Basic",15,"06-09-22","03-07-23","Italy",31,"Male","Tablet"
"Premium",12,"06-09-22","03-07-23","Spain",40,"Female","Tablet"
"Basic",11,"13-08-22","03-07-23","Spain",38,"Female","Tablet"
"Standard",11,"13-08-22","01-07-23","United States",31,"Male","Smart TV"
"Standard",12,"13-08-22","02-07-23","Canada",46,"Female","Smartphone"
"Basic",11,"06-08-22","03-07-23","United States",43,"Male","Smart TV"
"Premium",15,"06-08-22","03-07-23","United States",38,"Female","Laptop"
"Basic",15,"22-07-22","30-06-23","Canada",38,"Female","Laptop"
"Standard",14,"17-07-22","02-07-23","United Kingdom",27,"Male","Laptop"
"Premium",12,"09-07-22","02-07-23","Australia",49,"Female","Tablet"
"Basic",11,"04-07-22","03-07-23","Germany",33,"Male","Smartphone"
"Premium",10,"27-06-22","30-06-23","France",40,"Female","Smartphone"
"Basic",13,"28-06-22","02-07-23","Brazil",27,"Male","Tablet"
"Standard",12,"28-06-22","02-07-23","Mexico",28,"Female","Laptop"
"Standard",10,"29-06-22","03-07-23","Spain",30,"Male","Smartphone"
"Basic",10,"29-06-22","30-06-23","Italy",33,"Female","Smartphone"
"Premium",15,"26-06-22","01-07-23","Spain",51,"Female","Tablet"
"Basic",11,"26-06-22","03-07-23","Spain",51,"Male","Tablet"
"Standard",10,"26-06-22","02-07-23","United States",50,"Female","Smartphone"
"Premium",14,"24-06-22","30-06-23","Canada",46,"Female","Tablet"
"Basic",14,"25-06-22","02-07-23","United States",31,"Male","Smart TV"
"Premium",12,"20-06-22","03-07-23","United States",46,"Female","Smartphone"
"Basic",15,"21-06-22","02-07-23","Canada",41,"Male","Smart TV"
"Standard",12,"20-06-22","02-07-23","United Kingdom",36,"Male","Smartphone"
"Standard",10,"22-06-22","02-07-23","Australia",45,"Female","Tablet"
"Basic",10,"24-06-22","03-07-23","Germany",36,"Male","Smartphone"
"Premium",15,"30-06-22","02-07-23","France",28,"Male","Smartphone"
"Basic",13,"03-07-22","02-07-23","Brazil",45,"Female","Smartphone"
"Standard",10,"04-07-22","02-07-23","Mexico",39,"Female","Smartphone"
"Premium",13,"08-07-22","02-07-23","Spain",51,"Female","Laptop"
"Basic",10,"19-07-22","01-07-23","Italy",37,"Male","Laptop"
"Premium",11,"21-07-22","01-07-23","Spain",33,"Female","Tablet"
"Basic",15,"27-07-22","03-07-23","Spain",32,"Female","Smartphone"
"Standard",14,"02-08-22","01-07-23","United States",49,"Female","Tablet"
"Standard",10,"09-08-22","03-07-23","Canada",37,"Female","Smart TV"
"Basic",15,"21-08-22","01-07-23","United States",39,"Male","Tablet"
"Premium",14,"29-08-22","04-07-23","United States",37,"Male","Smart TV"
"Basic",15,"31-08-22","01-07-23","Canada",36,"Female","Smart TV"
"Standard",10,"02-09-22","03-07-23","United Kingdom",34,"Male","Laptop"
"Premium",13,"04-09-22","01-07-23","Australia",51,"Female","Smartphone"
"Basic",13,"05-09-22","04-07-23","Germany",41,"Female","Tablet"
"Premium",13,"10-09-22","01-07-23","France",51,"Male","Smart TV"
"Basic",15,"13-09-22","03-07-23","Brazil",31,"Female","Tablet"
"Standard",13,"20-09-22","01-07-23","Mexico",44,"Male","Laptop"
"Standard",15,"01-10-22","03-07-23","Spain",50,"Male","Smart TV"
"Basic",14,"03-10-22","01-07-23","Italy",33,"Male","Laptop"
"Premium",11,"06-10-22","04-07-23","Spain",44,"Female","Laptop"
"Basic",15,"08-10-22","01-07-23","Spain",42,"Female","Tablet"
"Standard",13,"09-10-22","03-07-23","United States",35,"Male","Smart TV"
"Premium",12,"10-10-22","02-07-23","Canada",48,"Male","Smartphone"
"Basic",13,"10-10-22","04-07-23","United States",51,"Female","Smartphone"
"Basic",15,"12-10-22","01-07-23","United States",44,"Female","Smart TV"
"Basic",11,"14-10-22","02-07-23","Canada",37,"Female","Smartphone"
"Standard",15,"15-10-22","02-07-23","United Kingdom",35,"Female","Laptop"
"Premium",11,"17-10-22","03-07-23","Australia",32,"Male","Laptop"
"Basic",15,"19-10-22","02-07-23","Germany",46,"Female","Tablet"
"Basic",14,"25-10-22","02-07-23","France",39,"Female","Laptop"
"Premium",11,"26-10-22","02-07-23","Brazil",33,"Female","Tablet"
"Standard",10,"05-11-22","03-07-23","Mexico",42,"Male","Tablet"
"Standard",14,"07-11-22","03-07-23","Spain",37,"Female","Smartphone"
"Basic",14,"08-11-22","03-07-23","Italy",27,"Female","Smart TV"
"Premium",14,"09-11-22","02-07-23","Spain",34,"Female","Laptop"
"Standard",13,"06-11-22","03-07-23","Spain",51,"Male","Laptop"
"Basic",12,"04-11-22","03-07-23","United States",42,"Male","Laptop"
"Standard",13,"03-11-22","05-07-23","Canada",46,"Female","Smart TV"
"Premium",13,"23-10-22","02-07-23","United States",36,"Male","Laptop"
"Basic",14,"24-10-22","04-07-23","United States",46,"Male","Smartphone"
"Premium",13,"23-10-22","04-07-23","Canada",51,"Male","Smart TV"
"Standard",12,"21-10-22","04-07-23","United Kingdom",45,"Female","Smartphone"
"Basic",14,"11-09-22","02-07-23","Australia",33,"Male","Smartphone"
"Standard",10,"09-09-22","03-07-23","Germany",31,"Female","Smart TV"
"Premium",12,"22-08-22","03-07-23","France",48,"Female","Smart TV"
